,weighted_mean,freq,min,max,std
NN VVP ,0.8157323972861313,411,0.6034627095,0.9419782281,0.08705586521741236
JJS NN ,0.8492881613623808,210,0.7249048769,0.9408557137,0.06421392538760995
VVP JJ ,0.8017210468140002,100,0.6136973828,0.9397317025,0.11203031676057403
NN VVZ ,0.7035807347385297,6774,0.6001011673,0.9393547355,0.07847507586157551
VVP NN ,0.826415131263755,996,0.6047761912,0.9393531178,0.09892882178798815
VVG NNS ,0.8396660831348763,3435,0.600877145,0.9391136702,0.08343962378153577
JJ VVG ,0.7911792538926529,2028,0.6013858352,0.9383093011,0.11212925861749853
RB VVG ,0.8197146612232081,586,0.6383538823,0.9383093011,0.0897683131090253
RB VVN ,0.8149412599516592,15639,0.6110108309,0.9378430098,0.05466990898234668
NN VVN ,0.7179222608716981,954,0.6029106196,0.9372180384,0.07701431362671139
NP VVG ,0.811926882876842,190,0.6064459097,0.937023728,0.10841129855935874
VV NP ,0.8379619025091306,230,0.6333661463,0.9366563447,0.08362148559941149
VV NNS ,0.7375144404485643,1219,0.6137311796,0.9365616222,0.06305815664733781
NP VVZ ,0.7495367195724584,541,0.600877145,0.9362415889,0.0700871450900927
NP VVP ,0.8326370734,28,0.7646389959,0.9350423026,0.05880689508749028
RB VVD ,0.8315158102982659,173,0.6110108309,0.9345473165,0.06000380530093377
VVP NNS ,0.7821552385264956,117,0.6180280238,0.9342939768,0.08740531399327893
JJ VVP ,0.887185156378125,64,0.7047281974,0.9340292199,0.05350713516178918
NP VV ,0.7855710898761904,21,0.6448878474,0.9333814304,0.07827446286670697
NN VVD ,0.7800231315058509,564,0.6029106196,0.9331610253,0.0956052846314762
NN NN NNS ,0.7402200382830757,2523,0.6023336288,0.9327699697,0.07570962075113949
NP NP NP ,0.7994482017087055,873,0.6082703232,0.9327699697,0.06798256672234222
NN NN VVZ ,0.6483704591144378,11650,0.602375006,0.9327699697,0.015101679648440385
NNS NN ,0.8032317788138646,3224,0.6057535341,0.9319085174,0.07577051689905816
RB JJ ,0.824510964941449,1532,0.6087103704,0.9318908072,0.07702750376789397
NN IN ,0.8090140679277776,126,0.6153246461,0.9306186347,0.08565720263039901
VV IN ,0.6423845058534884,43,0.6355217885,0.9306186347,0.04447549165442196
RB RB ,0.810982337480814,172,0.6489768294,0.9288777006,0.10339207051313824
VVN RB ,0.7910212001291262,721,0.6150316166,0.9284578868,0.08905776631865871
VVG VV ,0.8612562752333334,18,0.7560455454,0.9281146474,0.04963469755640541
RB VV ,0.793742767168958,1833,0.6119389017,0.926934992,0.06641976863399689
JJ VV ,0.8870760361999999,20,0.7789745364,0.926934992,0.044697518500984905
RB VVP ,0.8305373042352113,71,0.6951023769,0.926934992,0.08193298203273432
VVN NNS ,0.7838518549128801,1118,0.6126838569,0.9261150466,0.07735097245263142
VVG NN NNS ,0.7356696021685345,232,0.6003755915,0.9236384748,0.11866322161220658
JJ NN NNS ,0.7647117733017611,1533,0.6034355548,0.9236384748,0.0740810441343585
NP NPS ,0.8276887100733941,109,0.6019054614,0.923047519,0.11877977642371601
VVP VVG ,0.8010516483658539,41,0.6026511956,0.9227712457,0.07135947429699863
NN NN NN ,0.7326385980206415,21670,0.600044609,0.9221739411,0.0750167916631185
JJ NN NN ,0.7307194625317868,18105,0.600044609,0.9216159544,0.07929866605581783
VVD NN NN ,0.7901739212466666,30,0.6873810413,0.9216159544,0.07798940083339324
RB VVZ ,0.8113955895525385,906,0.6275495956,0.9210883954,0.07868159442990925
JJ VVG NN ,0.7260444997290781,846,0.6070927829,0.9210189768,0.06551051212017617
NN VVG NN ,0.7117144008840895,1697,0.6017617795,0.9210189768,0.058977693903041514
JJR NN ,0.783514372029808,5626,0.6014730951,0.9204913037,0.06131444953416041
VVN VV ,0.7731129137071427,14,0.6298026848,0.9202612398,0.11223694315859747
VVG NN NN ,0.7306268740328125,1152,0.60235951,0.9191425875,0.07166493007474943
VVD NNS ,0.7773574994253966,126,0.6034317817,0.9189659124,0.09416557423134468
NP NN NN ,0.7342305509056769,1603,0.6004320914,0.9186777221,0.07207454265213428
NP NN VVG ,0.8986741342347224,72,0.6526837979,0.9181444879,0.06023380194724112
VV NN NN NNS ,0.6430640468524588,183,0.6075053206,0.9173742208,0.09876295046050935
VV VVG ,0.7537897575209375,640,0.6026511956,0.9169784099,0.08680780982889473
IN NN ,0.7103367013878049,41,0.6010004493,0.9156127617,0.10692824715259479
FW NN ,0.91379315786,5,0.9133382569,0.9156127617,0.0009098019200000085
VVD RB ,0.8086977553707692,65,0.6686551809,0.9154718298,0.08152039827217518
JJ RB ,0.8495682476506071,247,0.765925238,0.9154718298,0.007012155073622451
NNS JJ ,0.8067756939979591,245,0.6025390221,0.9145059198,0.0895223265450262
JJ VVN ,0.7960886225246754,154,0.6477196676,0.9139962783,0.08817214278494521
JJ VVD ,0.8321788864166666,24,0.8194495663,0.9139962783,0.029414410797672496
FW VVP ,0.9133382569,9,0.9133382569,0.9133382569,0.0
VVZ NN ,0.7659298723842176,754,0.6076312628,0.913326433,0.10281540520471656
VVN JJ ,0.8207845612412185,279,0.629631862,0.9128675295,0.07725888809896857
VVD VVG ,0.8138775510694031,134,0.6055441745,0.9127485679,0.03331354293086143
NP VVD ,0.8018975244607144,28,0.6982669006,0.9124678129,0.07787028073593158
NNS NNS ,0.7722267274130655,199,0.6405583865,0.9114537051,0.08620574937546452
VVN NP ,0.8205604756933335,60,0.6298026848,0.9114011901,0.044230912728804236
VVD NP ,0.7827261512,2,0.6540511123,0.9114011901,0.12867503889999998
NNS VVG ,0.7514374972045976,435,0.6064459097,0.911188963,0.06670102427254114
NNS VVP ,0.8060127483570093,214,0.6057535341,0.9104391823,0.07446513750857618
VVD JJ ,0.766596229294633,913,0.6062174888,0.9097871726,0.029712113741475806
VV NN NN ,0.7388344231268656,335,0.604275507,0.9060790885,0.08339239400334099
NP NN NNS ,0.7661378462246028,126,0.6352125781,0.9053274279,0.09412668324448191
JJ NP NP ,0.7943146010609999,100,0.6170149077,0.9052720942,0.06838075845482856
NN SYM ,0.8850005522411765,17,0.8788081773,0.9051257708,0.011163462683655017
NP SYM ,0.9051257707999999,12,0.9051257708,0.9051257708,1.1102230246251565e-16
VVZ RB ,0.8147459183039604,101,0.6080272225,0.8991938343,0.06609431760182094
NNS RB ,0.8387306277426829,164,0.6023416802,0.8991938343,0.07188085280126835
NP RB ,0.8743683402,2,0.8495706893,0.8991659911,0.024797650899999968
VVN NN NNS ,0.7710707776913669,139,0.6612778141,0.8983857322,0.07598281947756827
VVD NN NNS ,0.8258539113166666,12,0.7278330558,0.8983857322,0.04841242958290806
JJ NP NN ,0.7725841190812867,171,0.6504429393,0.8976176488,0.06218850047714259
VVD NP NN ,0.8976176488,1,0.8976176488,0.8976176488,0.0
VVN NP NN ,0.8976176488,1,0.8976176488,0.8976176488,0.0
VVZ NNS ,0.7629992129686046,86,0.7135417407,0.8956686163,0.06678429888454876
VVZ VV ,0.7866727268111109,45,0.6711475759,0.8945945915,0.045126277647671506
VVN JJ NN ,0.7251119161640187,214,0.6353950732,0.894218803,0.06200961510989599
JJ JJ NN ,0.7644603458969701,28318,0.6007665898,0.894218803,0.02758654878885701
NP VVG NN ,0.7213986257646069,178,0.6017617795,0.8937845685,0.0786479956658594
NNS VV ,0.7587976182720001,75,0.6181403455,0.8934368137,0.10012581245893175
VV RB ,0.7444669517566832,404,0.6265428728,0.8934032151,0.09579549684785853
VVP RB ,0.804919259408,50,0.6946679771,0.8934032151,0.04047924126871369
NNS NP ,0.8062545593802721,147,0.6282136367,0.8926613428,0.08009005345758922
VVG VVG ,0.7484764429147058,170,0.6294176302,0.8923720815,0.10034172191393596
NN NNS NP ,0.8699102137000001,38,0.779823869,0.8913458408,0.033239870740750854
NP NNS NP ,0.8913458408,1,0.8913458408,0.8913458408,0.0
NN NNS JJ ,0.75828551941,70,0.6652016847,0.8912341923,0.10181255646352792
NNS NN VVG ,0.8909127077999996,29,0.8909127078,0.8909127078,3.3306690738754696e-16
RBR JJ ,0.8894078072999998,136,0.8894078073,0.8894078073,2.220446049250313e-16
JJR JJ ,0.8431000711944444,54,0.6838272058,0.8894078073,0.08525506566756219
JJ VVZ ,0.8406585600759999,25,0.7936594241,0.8893991712,0.04635350634871566
NP NP NN ,0.7763883421732672,101,0.6111031971,0.889348261,0.08947033399144608
NP VVZ NP ,0.889348261,1,0.889348261,0.889348261,0.0
NP NPS NP ,0.861684457675,4,0.7786930477,0.889348261,0.047915112889492815
NP NPS NN ,0.889348261,1,0.889348261,0.889348261,0.0
VVG IN ,0.8879598411,2,0.8879598411,0.8879598411,0.0
VV NP NN NN ,0.8876304194,16,0.8876304194,0.8876304194,0.0
RB NN ,0.807868233234,50,0.6581443962,0.8872505123,0.08877773816729617
VVN VVP ,0.7582064758921053,38,0.6125624684,0.8837122819,0.10660802466970014
VVZ NP ,0.8003002775588234,17,0.7097438114,0.8836848493,0.07630345262664917
VVG RB ,0.7806740849770115,87,0.6843470452,0.8835255253,0.06386994003123479
NN NN VVP ,0.7271001949166666,36,0.6290752647,0.8834996736,0.09864698998921165
IN VVN ,0.882891216,2,0.882891216,0.882891216,0.0
NN NPS ,0.8827051392,1,0.8827051392,0.8827051392,0.0
JJS NN NN ,0.8301459798886794,53,0.8049149185,0.8788937791,0.030854916602442838
NNS SYM ,0.8788081773000002,3,0.8788081773,0.8788081773,1.1102230246251565e-16
JJ NN NP ,0.7323268211450381,262,0.6545347934,0.8780883493,0.06081573177669705
NP NN NP ,0.84666070813125,16,0.6335190454,0.8780883493,0.06235109790002991
NP NP NP NP ,0.7509571425378788,66,0.6032058688,0.8780136206,0.10069361597633053
NN JJ NN NN ,0.7637754046347823,92,0.60731179,0.8780136206,0.09700799747747042
VVZ JJ ,0.7248142288760683,117,0.6080272225,0.8778158976,0.10222379555920465
VVN VVG ,0.8101030387526882,93,0.7002878917,0.8766814095,0.03239857669252703
JJR NNS ,0.7267794282273633,201,0.6226838195,0.8764480769,0.10152588286026396
NP IN ,0.876438715,1,0.876438715,0.876438715,0.0
VV VVG NNS ,0.7685925100272727,22,0.6936517252,0.8745902513,0.08829294448067566
NN VVG NNS ,0.7773503162621951,82,0.6212090176,0.8745902513,0.06480899092057278
VVN NN NN ,0.7584722101777592,598,0.6103942593,0.874516052,0.06765698105203385
NN NN VVG ,0.7448760171461685,522,0.6088271822,0.8739260849,0.07780926350249115
JJ NN NN NN ,0.7007052908771338,1277,0.6010916523,0.8704086719,0.050000226010605366
FW FW NN ,0.8702767529,11,0.8702767529,0.8702767529,0.0
NN FW NN ,0.8702767529,2,0.8702767529,0.8702767529,0.0
VVD NN JJ ,0.8699127162,1,0.8699127162,0.8699127162,0.0
VVN NP NP ,0.8699127162,1,0.8699127162,0.8699127162,0.0
NP NP JJ ,0.80518606504,5,0.7861851411,0.8699127162,0.03246141446922178
JJ NN JJ ,0.7539753454489361,188,0.6729731751,0.869680969,0.06860288875667432
NP NN JJ ,0.76579548135,6,0.6787393932,0.869680969,0.07935667360563017
NN VVN NN ,0.7683157376361539,130,0.6378777824,0.8695865888,0.08500894049192155
NN NN NP ,0.7166610026319278,166,0.6130503329,0.8689723159,0.05873111004805401
